scenario,case,step_index,sweep_x,sweep_key,sweep_xlabel,gt_C_MD,mean_cov_C_MD,median_cov_C_MD,n_rel_err_C_MD,mean_rel_err_C_MD,median_rel_err_C_MD,std_rel_err_C_MD,p90_rel_err_C_MD,max_rel_err_C_MD,n_abs_err_C_MD,mean_abs_err_C_MD,median_abs_err_C_MD,std_abs_err_C_MD,p90_abs_err_C_MD,max_abs_err_C_MD
sticks_2,stick_1500_dperp_0.05,1,0.05,sticks_dperp,D_perp [um2/ms],8.57558512536456e-06,-0.045351695611124614,0.01642827079982148,100,14642.823503053953,9761.50280388064,17435.302402212226,30400.21710782475,103212.02892630553,100,0.12557077942612804,0.08371059824616325,0.14951791993664418,0.26069964963771514,0.8851035400191224
sticks_2,stick_1500_dperp_0.08,2,0.08,sticks_dperp,D_perp [um2/ms],2.1116383250893443e-05,-0.0062009902080948495,0.01416901267776504,100,3821.5157131092,3119.6813356295534,2936.833530631148,7317.830958422068,19218.49122755357,100,0.08069659039732521,0.0658763867038128,0.06201530237688182,0.15452612308329325,0.4058250262649548
crossing_needles_2,crossing_needles_2_angle90,10,90.0,crossing_angle,Crossing angle [deg],2.7742532039877883e-05,0.007850116433639804,0.032599350622263046,100,2714.4462952196855,2162.795193676432,2276.478232055935,5267.450426932391,11277.058712223867,100,0.07530561331565994,0.06000141495626231,0.06315527029089635,0.14613241223764026,0.31285416263945465
crossing_needles_2,crossing_needles_2_angle52,5,52.0,crossing_angle,Crossing angle [deg],3.9929356046196375e-05,-0.03347355838542863,0.014630167746725438,100,2620.1299467571725,1790.5128877194782,3356.835063279459,5400.760913405411,26955.98214326063,100,0.10462010153136873,0.07149402659905427,0.13403626243004169,0.2156489054317454,1.0763350085731653
sticks_2,stick_1500_dperp_0.11,3,0.11,sticks_dperp,D_perp [um2/ms],3.403312501381517e-05,-0.02504376431798382,-0.0029679852859628812,100,2610.755164250575,2127.1100688165793,2117.077721129714,5523.751693128217,10485.783344816818,100,0.08885215688540342,0.07239220289017963,0.07205077074717049,0.1879905319175058,0.35686397544193177
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.10,1,0.1,demyelination,End D_perp [um2/ms],3.250638430552469e-05,0.023596464030010526,0.034613946687095,100,2589.0447617380037,2197.2772000383907,2095.7258105873475,5142.822012581606,9688.594711215077,100,0.08416048400926111,0.07142553709021518,0.06812446859795955,0.1671745487558896,0.3149411830632313
sticks_2,stick_1500_dperp_0.14,4,0.14,sticks_dperp,D_perp [um2/ms],5.7971445224402536e-05,-0.008189398365422068,0.020547781839588275,100,1434.5931871847847,1193.987536730103,1335.707809996662,2754.2206233640172,8190.488118853523,100,0.0831654403701838,0.0692171830841685,0.07743291214302817,0.15966615000326692,0.47481443334323675
crossing_needles_2,crossing_needles_2_angle68,7,68.0,crossing_angle,Crossing angle [deg],8.631202577456356e-05,-0.036683744337551276,0.018689107002867442,100,1168.7777179903064,733.0348891587764,1436.9041699201016,2497.404156693103,11183.42833830309,100,0.10087957251991492,0.06326972624672667,0.12402210974972167,0.21555601194199725,0.965264354983601
sticks_2,stick_1500_dperp_0.18,5,0.18,sticks_dperp,D_perp [um2/ms],9.436426443745404e-05,-0.017892431921248408,0.011603559138883054,100,922.0951404446674,749.5020903711047,816.6101394777515,1570.6458842334018,6072.561929598839,100,0.08701282966941189,0.07072621345220349,0.07705881514398479,0.14821284355739955,0.573032839737481
o_prog_gauss_2,ODI_0.58,8,0.58,o_prog,ODI,0.00010353719484081087,0.008320097047273309,0.02522566145362859,100,652.9341729434112,604.9498289658573,476.7964880460914,1188.997511856762,2586.816772707027,100,0.06760297268226566,0.06263480831055318,0.04936617088224251,0.1231054670503529,0.267831752213245
