case_name,case_dir,signal_path,gt_json,gt_V,pred_V,gt_FA,pred_MD,gt_MD,abs_err_MD,rel_err_MD,pred_FA,abs_err_FA,rel_err_FA,pred_uFA,gt_uFA,abs_err_uFA,rel_err_uFA,pred_C_c,gt_C_c,abs_err_C_c,rel_err_C_c,pred_C_MD,gt_C_MD,abs_err_C_MD,rel_err_C_MD
crossing_needles_2,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,0.0009102390414494893,0.626608359990366,0.7845258712768555,0.6333333333333333,0.15119253794352217,0.23872505991044757,0.6201992630958557,0.006409096894510302,0.01022823393961519,0.9343347549438477,0.9379366108168786,0.003601855873030968,0.003840191150967183,0.44626733660697937,,,,0.001478907186537981,-1.2003718489948148e-16,0.0014789071865381012,1478729683.9896076
Frac_0.00,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.00,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.00\frac_gauss_2__Frac_0.00_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.00\frac_gauss_2__Frac_0.00__GT_params.json,4.1458643432284356e-21,-0.004799700811878439,0.4148188343835531,0.9299892783164978,0.7966666666687987,0.1333226116476991,0.16735055855293926,0.4066108465194702,0.008207987864082888,0.01978692186496471,0.74688720703125,0.8004556404610015,0.05356843342975148,0.06692242608076723,0.33117353916168213,,,,-0.005549556575715542,7.206938352104624e-16,0.005549556575716263,5545559924.865622
Frac_0.09,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.09,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.09\frac_gauss_2__Frac_0.09_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.09\frac_gauss_2__Frac_0.09__GT_params.json,0.4001039216544859,0.022292757291312127,0.3000669705499248,1.0342479944229126,0.9962436580621831,0.03800433636072953,0.03814763191026431,0.34736502170562744,0.047298051155702625,0.15762498307915435,0.6964411735534668,0.5952114624711587,0.10122971108230805,0.17007352422592686,0.2816592752933502,,,,0.020840801298618317,0.28730603559905876,0.26646523430044045,0.9274613174899343
Frac_0.18,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.18,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.18\frac_gauss_2__Frac_0.18_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.18\frac_gauss_2__Frac_0.18__GT_params.json,0.7276482317354458,0.07424771984932202,0.24607093136551983,1.1530754566192627,1.1985594796305785,0.04548402301131582,0.037948907654793244,0.3289174437522888,0.08284651238676899,0.3366773634199403,0.6457973718643188,0.47749945997061444,0.1682979118937044,0.35245675859760994,0.28475138545036316,,,,0.05584286153316498,0.3362214979219312,0.2803786363887662,0.833910496862502
Frac_0.27,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.27,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.27\frac_gauss_2__Frac_0.27_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.27\frac_gauss_2__Frac_0.27__GT_params.json,0.961403144364873,0.15572417117691317,0.1881607923637092,1.2954164743423462,1.3961926764038664,0.10077620206152016,0.07217929427979408,0.2840161621570587,0.09585536979334952,0.5094332809119687,0.5815754532814026,0.39911941777178817,0.18245603550961442,0.45714647642997797,0.25182899832725525,,,,0.09279769659042358,0.33029315057997916,0.23749545398955557,0.7190444414963064
Frac_0.36,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.36,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.36\frac_gauss_2__Frac_0.36_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.36\frac_gauss_2__Frac_0.36__GT_params.json,1.1191182487390128,0.26110030238869564,0.13589132861161998,1.4346280097961426,1.594563176519243,0.15993516672310037,0.10030030109695688,0.22190527617931366,0.08601394756769368,0.6329612672556187,0.50697922706604,0.33849806803168403,0.168481159034356,0.4977315232950994,0.1944938749074936,,,,0.12686118483543396,0.3056238839619799,0.17876269912654597,0.5849107628911601
Frac_0.45,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.45,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.45\frac_gauss_2__Frac_0.45_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.45\frac_gauss_2__Frac_0.45__GT_params.json,1.20977932179207,0.3794325791270835,0.10788048747908238,1.5828474760055542,1.7990946504959124,0.21624717449035824,0.12019777527026189,0.18862713873386383,0.08074665125478145,0.7484824470198045,0.4435868263244629,0.28681852592446594,0.15676830039999695,0.5465766198126809,0.1830856204032898,,,,0.15144553780555725,0.27207323513386705,0.1206276973283098,0.443364806790034
Frac_0.55,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.55,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.55\frac_gauss_2__Frac_0.55_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.55\frac_gauss_2__Frac_0.55__GT_params.json,1.2146877415539954,0.5052196180849995,0.0778213272358567,1.753800868988037,2.0009729467855544,0.24717207779751726,0.1235259468122551,0.14260333776474,0.06478201052888329,0.8324454597351314,0.37691688537597656,0.24394277687141497,0.1329741085045616,0.5451036927980395,0.14763034880161285,,,,0.16425539553165436,0.23276209829438854,0.06850670276273418,0.2943206959571022
Frac_0.64,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.64,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.64\frac_gauss_2__Frac_0.64_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.64\frac_gauss_2__Frac_0.64__GT_params.json,1.1316976703262593,0.6455487171052948,0.05384928797048892,1.969300389289856,2.2008496078639084,0.23154921857405242,0.10520901462171388,0.10699272900819778,0.05314344103770886,0.9868921770302,0.3163416087627411,0.20465613635952112,0.11168547240321997,0.5457225685452961,0.12015383690595627,,,,0.1664581596851349,0.18939162666076834,0.02293346697563345,0.1210901842909348
Frac_0.73,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.73,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.73\frac_gauss_2__Frac_0.73_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.73\frac_gauss_2__Frac_0.73__GT_params.json,0.969494852612318,0.7958056469246689,0.03728989666181832,2.1973910331726074,2.3988804445393073,0.20148941136669984,0.08399310262638406,0.08365947008132935,0.04636957341951103,1.2434889224497647,0.26185378432273865,0.16816681711681575,0.0936869672059229,0.5571073343220077,0.11230050027370453,,,,0.1648133248090744,0.144181622230646,0.02063170257842839,0.14309523127213086
