case_name,case_dir,signal_path,gt_json,model_id,pred_MD,gt_MD,abs_err_MD,rel_err_MD,pred_FA,gt_FA,abs_err_FA,rel_err_FA,pred_uFA,gt_uFA,abs_err_uFA,rel_err_uFA,pred_C_c,gt_C_c,abs_err_C_c,rel_err_C_c,pred_C_MD,gt_C_MD,abs_err_C_MD,rel_err_C_MD
crossing_needles_2,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.7845259308815002,0.6333333333333333,0.15119259754816694,0.23872515402304456,0.6201992630958557,0.626608359990366,0.006409096894510302,0.01022823393961519,0.9343347549438477,0.9379366108168786,0.003601855873030968,0.003840191150967183,0.44626733660697937,0.4463190184049082,5.168179792880423e-05,0.00011579564346908882,0.001478907186537981,-1.2003718489948148e-16,0.0014789071865381012,1478729683.9896076
demyelination_progressive_sticks_1200,C:\SynQTI-IR\data\Results_2_MLP\demyelination_progressive_sticks\demyelination_progressive_sticks_1200,C:\SynQTI-IR\data\Results_2_MLP\demyelination_progressive_sticks\demyelination_progressive_sticks_1200\demyelination_progressive_sticks__demyelination_progressive_sticks_1200_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\demyelination_progressive_sticks\demyelination_progressive_sticks_1200\demyelination_progressive_sticks__demyelination_progressive_sticks_1200__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.8798917531967163,0.7098361152098787,0.17005563798683765,0.23957028156607302,0.8478754162788391,0.793933688129595,0.05394172814924414,0.0679423596147632,0.928583562374115,0.8581376682063577,0.07044589416775726,0.08209159995845204,0.8248574733734131,0.8559620867134861,0.031104613340072973,0.036338774605618955,0.007101798430085182,0.010332184677105095,0.0032303862470199132,0.31265277844533845
fanning_sticks_1500,C:\SynQTI-IR\data\Results_2_MLP\fanning_sticks_1500\fanning_sticks_1500,C:\SynQTI-IR\data\Results_2_MLP\fanning_sticks_1500\fanning_sticks_1500\fanning_sticks_1500__fanning_sticks_1500_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\fanning_sticks_1500\fanning_sticks_1500\fanning_sticks_1500__fanning_sticks_1500__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.778876543045044,0.6326453013867827,0.1462312416582613,0.23114253964660084,0.9158627390861511,0.8120331944337412,0.1038295446524099,0.1278636703080666,0.9913762211799622,0.9383072413246826,0.053068979855279586,0.056558211977881946,0.8452810049057007,0.74895794055086,0.09632306435484073,0.12860944405485084,0.0026827773544937372,0.00155775781991641,0.0011250195345773272,0.722204388558609
Frac_0.00,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.00,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.00\frac_gauss_2__Frac_0.00_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.00\frac_gauss_2__Frac_0.00__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.9299892783164978,0.7966666666687987,0.1333226116476991,0.16735055855293926,0.4066108167171478,0.4148188343835531,0.008208017666405276,0.019786993709152864,0.7468872666358948,0.8004556404610015,0.05356837382510671,0.06692235161737194,0.33117353916168213,0.26856065974909776,0.06261287941258437,0.23314240987807813,-0.005549556575715542,7.040989113733794e-16,0.005549556575716246,5545651888.258868
Frac_0.09,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.09,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.09\frac_gauss_2__Frac_0.09_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.09\frac_gauss_2__Frac_0.09__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,1.0342481136322021,0.9962436580621831,0.03800445557001908,0.03814775156903311,0.34736502170562744,0.3000669705499248,0.047298051155702625,0.15762498307915435,0.6964412331581116,0.5952114624711587,0.10122977068695282,0.17007362436621068,0.2816592752933502,0.25415216584322686,0.027507109450123357,0.10823086775102606,0.020840803161263466,0.28730603559905876,0.2664652324377953,0.9274613110067946
Frac_0.18,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.18,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.18\frac_gauss_2__Frac_0.18_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.18\frac_gauss_2__Frac_0.18__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,1.1530754566192627,1.1985594796305785,0.04548402301131582,0.037948907654793244,0.3289174437522888,0.24607093136551983,0.08284651238676899,0.3366773634199403,0.6457973122596741,0.47749945997061444,0.16829785228905964,0.35245663377098757,0.28475141525268555,0.26556745801313647,0.019183957239549077,0.07223760540166745,0.05584286153316498,0.3362214979219312,0.2803786363887662,0.833910496862502
Frac_0.27,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.27,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.27\frac_gauss_2__Frac_0.27_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.27\frac_gauss_2__Frac_0.27__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,1.2954163551330566,1.3961926764038664,0.10077632127080971,0.07217937966148355,0.2840161919593811,0.1881607923637092,0.09585539959567191,0.5094334392994947,0.5815755128860474,0.39911941777178817,0.1824560951142592,0.4571466257703561,0.25182899832725525,0.2222555177982289,0.029573480529026336,0.13306072587921566,0.09279768913984299,0.33029315057997916,0.23749546144013617,0.7190444640537847
Frac_0.36,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.36,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.36\frac_gauss_2__Frac_0.36_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.36\frac_gauss_2__Frac_0.36__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,1.4346280097961426,1.594563176519243,0.15993516672310037,0.10030030109695688,0.22190526127815247,0.13589132861161998,0.08601393266653248,0.6329611576006368,0.50697922706604,0.33849806803168403,0.168481159034356,0.4977315232950994,0.1944938749074936,0.16116513671157276,0.03332873819592083,0.2067986841059826,0.12686118483543396,0.3056238839619799,0.17876269912654597,0.5849107628911601
Frac_0.45,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.45,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.45\frac_gauss_2__Frac_0.45_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.45\frac_gauss_2__Frac_0.45__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,1.5828474760055542,1.7990946504959124,0.21624717449035824,0.12019777527026189,0.18862712383270264,0.10788048747908238,0.08074663635362025,0.7484823088932392,0.4435867965221405,0.28681852592446594,0.15676827059767456,0.5465765159061349,0.1830856204032898,0.14147229588435803,0.041613324518931766,0.2941446893083087,0.15144553780555725,0.27207323513386705,0.1206276973283098,0.443364806790034
Frac_0.55,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.55,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.55\frac_gauss_2__Frac_0.55_exact.nii,C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_0.55\frac_gauss_2__Frac_0.55__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,1.753800868988037,2.0009729467855544,0.24717207779751726,0.1235259468122551,0.14260333776474,0.0778213272358567,0.06478201052888329,0.8324454597351314,0.37691688537597656,0.24394277687141497,0.1329741085045616,0.5451036927980395,0.14763036370277405,0.10177036692884218,0.04585999677393186,0.4506222995692502,0.16425541043281555,0.23276209829438854,0.06850668786157299,0.29432063193825503
