gt_json,dtd_file,scenario,case_tag,n_tensors,fa_val,ufa_val,c_md_val,c_c_val,is_all_finite,runtime_warnings
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
C:\SynQTI-IR\data\Results_2_MLP\frac_gauss_2\Frac_1.00\frac_gauss_2__Frac_1.00__GT_params.json,C:\SynQTI-IR\data\DTDs_cov_suite_2\frac_gauss_2\Frac_1.00.json,frac_gauss_2,Frac_1.00,1500,,0.0,0.0010638500424254632,-inf,False,invalid value encountered in sqrt | divide by zero encountered in divide
